Rank,Patent_Number,Title,Integrated_Score,Confidence,Technology_Theme,Scientific_Robustness,Manufacturing_Feasibility,Modernization_Potential,Strategic_Fit,Net_Present_Value_Base,Recommendation_Tier,Red_Flags
1,3930752,Oil well pumpoff control system utilizing integration timer,6.37,0.75,sensors,6.5,7.0,7.5,7.2,-116356.0,1,Negative Net Present Value in base scenario
2,3932795,Servo control positioning apparatus including a standing wave detector,6.37,0.75,sensors,6.5,7.0,7.5,7.2,-116356.0,1,Negative Net Present Value in base scenario
3,3935542,Contactless oscillator-type proximity sensor with constant-voltage impedance,6.16,0.75,sensors,6.5,6.5,7.0,6.8,-157171.0,2,Negative Net Present Value in base scenario
4,3930684,Automatic wafer feeding and pre-alignment apparatus and method,6.15,0.75,sensors,6.5,6.5,7.5,7.0,-152171.0,2,Negative Net Present Value in base scenario
5,3933612,Glass electrode structure for radio capsule,6.15,0.75,sensors,7.0,6.5,6.0,6.2,-152171.0,2,Negative Net Present Value in base scenario
6,3930281,Floor cleaning machine,6.14,0.75,apparatus,6.5,5.5,7.5,6.5,-155641.0,2,Negative Net Present Value in base scenario
7,3934205,"Frequency lock loop employing a gated frequency difference detector having positive, zero and negative threshold detectors",6.14,0.75,sensors,6.5,6.5,7.5,7.0,-157171.0,2,Negative Net Present Value in base scenario
8,3935381,Electronic solid state sensor image size control,6.12,0.75,sensors,5.0,7.0,7.5,7.2,-128274.0,1,Negative Net Present Value in base scenario
9,3932803,Electronic monitoring system including contactless motion detector,6.12,0.75,sensors,5.0,7.0,7.5,7.2,-128274.0,1,Negative Net Present Value in base scenario
10,3934685,Wheel speed sensor assembly,6.07,0.75,sensors,7.0,7.0,6.0,6.5,-116356.0,2,Negative Net Present Value in base scenario
11,3932756,X-ray detector for a panoramic X-ray device,6.07,0.75,sensors,5.0,7.0,6.0,6.5,-116356.0,2,Negative Net Present Value in base scenario
12,3932246,Gas sensor and method of manufacture,6.05,0.75,sensors,7.0,7.5,6.0,6.8,-201458.0,2,Negative Net Present Value in base scenario
13,3934678,Flow monitor for circulating lubrication systems,6.02,0.75,sensors,6.5,7.0,6.0,6.5,-104438.0,2,Negative Net Present Value in base scenario
14,3930729,Interferometer apparatus incorporating a spherical element of index of refraction of two,6.0,0.75,sensors,6.5,7.0,6.0,6.5,-113162.0,2,Negative Net Present Value in base scenario
15,3932872,Core design for flexible H-sensor for ELF,6.0,0.75,sensors,7.0,6.5,6.0,6.2,-152171.0,2,Negative Net Present Value in base scenario
16,3933028,Air/fuel ratio sensor for air/fuel ratios in excess of stoichiometry,5.95,0.75,sensors,6.5,7.5,6.0,6.8,-211354.0,2,Negative Net Present Value in base scenario
17,3933029,Gas detector with automatically operable fan switch,5.95,0.75,sensors,5.5,6.5,7.5,7.0,-175898.0,2,Negative Net Present Value in base scenario
18,3930726,System for measuring volumetric ratios of liquid suspended solids,5.94,0.75,sensors,5.5,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
19,3930494,Method and apparatus for the indirect measurement of blood pressure,5.91,0.75,sensors,5.0,6.5,7.5,7.0,-159221.0,2,Negative Net Present Value in base scenario
20,3930397,Combustion testing apparatus,5.87,0.75,materials,6.5,5.5,7.5,6.5,-140188.0,2,Negative Net Present Value in base scenario
21,3930630,Vacuum cleaner support apparatus,5.87,0.75,apparatus,6.5,5.5,6.0,5.8,-104438.0,2,Negative Net Present Value in base scenario
22,3930734,Process and apparatus for sensing magnitude and direction of lateral displacement,5.87,0.75,sensors,7.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
23,3930730,Interferometric device for measurement of variations in length of a sample under the influence of temperature,5.87,0.75,sensors,7.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
24,3934143,Detector for ionizing radiation,5.87,0.75,sensors,7.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
25,3931521,Dual spectrum infrared fire detector,5.87,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
26,3930406,Cigarette ends firmness detector,5.84,0.75,sensors,5.5,7.0,6.0,6.5,-116356.0,2,Negative Net Present Value in base scenario
27,3930324,Mechanical excavating machines including rotary cutter and suction tube,5.84,0.75,sensors,5.5,7.0,6.0,6.5,-116356.0,2,Negative Net Present Value in base scenario
28,3931571,Eddy current metal surface flaw detector,5.82,0.75,sensors,5.5,7.0,6.0,6.5,-128274.0,2,Negative Net Present Value in base scenario
29,3931619,Overtemperature monitor and integrator apparatus,5.79,0.75,sensors,5.0,7.0,6.0,6.5,-104438.0,2,Negative Net Present Value in base scenario
30,3930412,Electrically scanned pressure transducer configurations,5.79,0.75,sensors,5.0,7.0,6.0,6.5,-104438.0,2,Negative Net Present Value in base scenario
31,3930545,Tiltable coupling,5.79,0.75,sensors,6.5,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
32,3935079,Method and apparatus for displaying active oxygen and sensor temperature,5.78,0.75,sensors,7.0,6.5,6.0,6.2,-184621.0,2,Negative Net Present Value in base scenario
33,3935464,Multiple cathode gas proportional detector,5.77,0.75,sensors,5.5,7.0,6.0,6.5,-153447.0,2,Negative Net Present Value in base scenario
34,3931538,Signal detector for a semiconductor memory device,5.77,0.75,sensors,5.0,7.0,6.0,6.5,-116356.0,2,Negative Net Present Value in base scenario
35,3932108,Apparatus for making probe covers for electronic thermometers,5.77,0.75,apparatus,5.5,5.5,7.5,6.5,-116356.0,2,Negative Net Present Value in base scenario
36,3932738,Transition monitor for a unit transition counter,5.75,0.75,sensors,6.5,6.5,6.0,6.2,-164036.0,2,Negative Net Present Value in base scenario
37,3930622,Energy storing safety belt retractor,5.74,0.75,materials,7.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
38,3930360,Alarm clock timer,5.74,0.75,control_systems,6.5,5.0,7.5,6.2,-127742.0,2,Negative Net Present Value in base scenario
39,3930405,Method and means for measuring acoustic emissions,5.74,0.75,sensors,5.0,6.5,6.0,6.2,-127742.0,2,Negative Net Present Value in base scenario
40,3935468,Light responsive detector,5.74,0.75,sensors,5.0,7.0,6.0,6.5,-128274.0,2,Negative Net Present Value in base scenario
41,3933248,Bird-swing detector,5.74,0.75,sensors,6.5,6.5,6.0,6.2,-166479.0,2,Negative Net Present Value in base scenario
42,3933438,Combustible gas sensor for closed loop fuel control,5.74,0.75,sensors,7.0,6.5,6.0,6.2,-207226.0,2,Negative Net Present Value in base scenario
43,3930422,Power transmission apparatus,5.72,0.75,apparatus,5.0,5.5,7.5,6.5,-104438.0,2,Negative Net Present Value in base scenario
44,3930404,"Inside diameter, outside diameter and wall tube gage",5.72,0.75,materials,5.0,5.5,7.5,6.5,-104438.0,2,Negative Net Present Value in base scenario
45,3935433,Electromagnetically operated remote meter or register having counter wheel locking means,5.72,0.75,apparatus,5.0,5.5,7.5,6.5,-104438.0,2,Negative Net Present Value in base scenario
46,3932763,Detector for tubular transparent article,5.72,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
47,3931559,Malfunction detector circuit for the use with a pump-off control circuit,5.7,0.75,sensors,6.5,6.5,6.0,6.2,-185583.0,2,Negative Net Present Value in base scenario
48,3930409,Horsepower computing network for chassis dynamometers,5.69,0.75,energy,5.0,6.0,7.0,6.5,-127742.0,2,Negative Net Present Value in base scenario
49,3931573,Radiation detector,5.69,0.75,sensors,5.0,7.0,6.0,6.5,-153447.0,2,Negative Net Present Value in base scenario
50,3934193,Electrolytic conductivity detector,5.69,0.75,sensors,6.5,6.5,6.0,6.2,-191562.0,2,Negative Net Present Value in base scenario
51,3930669,Steerable trailer suspension system,5.67,0.75,materials,6.5,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
52,3934099,"Bias, feedback and network arrangements for hybrid circuits",5.67,0.75,control_systems,7.0,5.0,7.0,6.0,-142457.0,2,Negative Net Present Value in base scenario
53,3930289,Coupling device,5.64,0.75,apparatus,7.0,5.5,6.0,5.8,-104438.0,2,Negative Net Present Value in base scenario
54,3931736,Improved fluid flow sensor configuration,5.64,0.75,sensors,5.5,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
55,3932718,Intrusion detector,5.64,0.75,sensors,5.5,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
56,3935466,Smoke detector adapted to a smoke sensing apparatus,5.64,0.75,sensors,5.5,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
57,3931549,Control circuit for electromagnetic transducer,5.64,0.75,control_systems,5.0,5.0,7.5,6.2,-142457.0,2,Negative Net Present Value in base scenario
58,3935394,Network routing and control arrangement,5.62,0.75,control_systems,7.0,5.0,7.0,6.0,-164036.0,2,Negative Net Present Value in base scenario
59,3935384,Network for generating a CRT control signal for enhancing the edges of television images,5.62,0.75,control_systems,6.5,5.0,7.0,6.0,-127742.0,2,Negative Net Present Value in base scenario
60,3934132,Shift network for dual width operands,5.59,0.75,control_systems,6.5,5.0,7.0,6.0,-142457.0,2,Negative Net Present Value in base scenario
61,3930574,Apparatus for orienting and accumulating containers,5.57,0.75,apparatus,6.5,5.5,6.0,5.8,-104438.0,2,Negative Net Present Value in base scenario
62,3930533,Continuous casting apparatus with flexible starting bar which is gear-rack supported in storage position,5.57,0.75,control_systems,6.5,5.5,6.0,5.8,-104438.0,2,Negative Net Present Value in base scenario
63,3931610,Capacitive keyswitch sensor and method,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
64,3932813,Eddy current sensor,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
65,3930755,Air-pressure actuated slurry pump,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
66,3930629,Overheated journal bearing derailment prevention system,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
67,3934475,Capacitance type material level detector for hoppers,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
68,3932821,Out of lock detector for phase lock loop synthesizer,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
69,3931739,Negative pressure detector,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
70,3931607,Array transducer angular tracking system,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
71,3935492,Ionization smoke detector,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
72,3932851,Aerosol detector,5.57,0.75,sensors,5.0,6.5,6.0,6.2,-142457.0,2,Negative Net Present Value in base scenario
73,3930817,Extraction apparatus,5.56,0.75,apparatus,5.0,5.5,6.0,5.8,-144781.0,2,Negative Net Present Value in base scenario
74,3933081,Fluid control circuit for a radio controlled vehicle,5.54,0.75,control_systems,6.5,5.5,6.0,5.8,-116356.0,2,Negative Net Present Value in base scenario
75,3930652,Portable lawn playing checker apparatus,5.54,0.75,apparatus,7.0,5.5,6.0,5.8,-155641.0,2,Negative Net Present Value in base scenario
76,3930783,Primary control means for furnaces,5.54,0.75,sensors,5.0,6.5,6.0,6.2,-157171.0,2,Negative Net Present Value in base scenario
77,3933039,Pulse flow detector,5.54,0.75,sensors,5.0,6.5,6.0,6.2,-157171.0,2,Negative Net Present Value in base scenario
78,3935416,Inductor-workpiece position detector,5.54,0.75,sensors,5.0,6.5,6.0,6.2,-157171.0,2,Negative Net Present Value in base scenario
79,3934145,Ionization smoke detector and alarm system,5.54,0.75,sensors,5.0,6.5,6.0,6.2,-157171.0,2,Negative Net Present Value in base scenario
80,3935493,Radiation detector using double amplification,5.54,0.75,sensors,5.0,6.5,6.0,6.2,-157171.0,2,Negative Net Present Value in base scenario
81,3930789,Device for preheating waste gases of an exhaust conduit,5.53,0.75,apparatus,7.0,5.0,6.0,5.5,-160234.0,2,Negative Net Present Value in base scenario
82,3930433,Automatic firearms with bolt assisted by an additional mass,5.52,0.75,enabling_technology,5.0,5.0,7.5,6.2,-127742.0,2,Negative Net Present Value in base scenario
83,3931523,Activation neutron detector,5.52,0.75,sensors,5.0,6.5,6.0,6.2,-166479.0,2,Negative Net Present Value in base scenario
84,3935089,Oxygen sensor coated with catalytic material,5.51,0.75,sensors,5.5,6.5,6.0,6.2,-207226.0,2,Negative Net Present Value in base scenario
85,3930317,Electronic azimuth transfer method and system,5.49,0.75,process,5.0,5.0,7.5,6.2,-142457.0,2,Negative Net Present Value in base scenario
86,3931576,Automatic gain control circuit for radio receiver,5.49,0.75,control_systems,5.0,5.0,7.5,6.2,-142457.0,2,Negative Net Present Value in base scenario
87,3931676,Portable power saw apparatus,5.49,0.75,apparatus,6.5,5.5,6.0,5.8,-144781.0,2,Negative Net Present Value in base scenario
88,3930486,Convertible baseball and tennis practice machine,5.44,0.75,control_systems,7.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
89,3930495,Invalid exercising device,5.44,0.75,apparatus,7.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
90,3930547,Snow vehicle suspension system,5.44,0.75,control_systems,7.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
91,3930764,Air tool overspeed shutoff device,5.44,0.75,apparatus,7.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
92,3930728,Monochromator with concave grating,5.44,0.75,enabling_technology,7.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
93,3935398,Transducer with improved armature and yoke construction,5.44,0.75,enabling_technology,5.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
94,3935484,Replaceable acoustic transducer assembly,5.44,0.75,enabling_technology,5.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
95,3932834,Seismic transducer assembly for marshy terrains,5.44,0.75,materials,5.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
96,3934302,"Portable, multi-purpose, rechargeable cigarette lighter",5.43,0.75,enabling_technology,5.5,5.0,6.0,5.5,-170655.0,2,Negative Net Present Value in base scenario
97,3930873,Radio-photoluminescence dosimeter glass of low energy dependence and method of manufacturing same,5.42,0.75,process,5.0,5.0,6.0,5.5,-137864.0,2,Negative Net Present Value in base scenario
98,3930430,Photo-electric organ with chiff,5.42,0.75,enabling_technology,7.0,5.0,6.0,5.5,-142457.0,2,Negative Net Present Value in base scenario
99,3931577,Radio receiver protection arrangement,5.42,0.75,wireless,5.0,5.0,6.0,5.5,-142457.0,2,Negative Net Present Value in base scenario
100,3930610,Method and apparatus for obtaining accurately the angle of attack of an aircraft,5.39,0.75,process,5.0,5.0,7.0,6.0,-127742.0,2,Negative Net Present Value in base scenario
101,3930313,Drawing apparatus,5.39,0.75,apparatus,5.5,5.5,6.0,5.8,-116356.0,2,Negative Net Present Value in base scenario
102,3930364,Bracelet primarily for a watch,5.37,0.75,enabling_technology,6.5,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
103,3930670,Oscillation damping and stabilizing trailer hitch dolly,5.37,0.75,wireless,6.5,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
104,3930576,Combined packaging and display box,5.37,0.75,enabling_technology,6.5,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
105,3930413,Quick release gauge fitting,5.37,0.75,enabling_technology,6.5,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
106,3931469,Crossover network for a multi-element electrostatic loudspeaker system,5.37,0.75,enabling_technology,5.0,5.0,7.0,6.0,-142457.0,2,Negative Net Present Value in base scenario
107,3930761,Portable and manually operable peristaltic pump,5.36,0.75,enabling_technology,7.0,5.0,6.0,5.5,-170655.0,2,Negative Net Present Value in base scenario
108,3930754,Portable water sampling apparatus,5.36,0.75,apparatus,7.0,5.0,6.0,5.5,-170831.0,2,Negative Net Present Value in base scenario
109,3934152,Enclosure for confining radio-active products or waste,5.35,0.75,materials,5.5,5.0,6.0,5.5,-137864.0,2,Negative Net Present Value in base scenario
110,3930682,Safety belt tension relieving apparatus,5.34,0.75,apparatus,5.0,5.5,6.0,5.8,-104438.0,2,Negative Net Present Value in base scenario
111,3930703,Central plug connection,5.34,0.75,materials,5.0,5.5,6.0,5.8,-104438.0,2,Negative Net Present Value in base scenario
112,3930554,Power-assisted steering gear,5.34,0.75,control_systems,5.0,5.5,6.0,5.8,-104438.0,2,Negative Net Present Value in base scenario
113,3931641,Transducer suspension mount apparatus,5.34,0.75,apparatus,5.0,5.5,6.0,5.8,-104438.0,2,Negative Net Present Value in base scenario
114,3930653,Lid latch mechanism for a disc record player,5.34,0.75,enabling_technology,6.5,5.0,6.0,5.5,-142457.0,2,Negative Net Present Value in base scenario
115,3930424,Multi-shell limited slip differential,5.34,0.75,enabling_technology,6.5,5.0,6.0,5.5,-142457.0,2,Negative Net Present Value in base scenario
116,3933329,Support apparatus for a portable shower head,5.34,0.75,control_systems,5.5,5.5,6.0,5.8,-144781.0,2,Negative Net Present Value in base scenario
117,3934372,Portable upblast cleaning head,5.33,0.75,process,5.0,5.0,6.0,5.5,-184621.0,2,Negative Net Present Value in base scenario
118,3930485,Apparatus for mixing fuel and air for an internal combustion,5.32,0.75,apparatus,5.5,5.5,6.0,5.8,-153447.0,2,Negative Net Present Value in base scenario
119,3930439,Device for wrapping sheets around food,5.32,0.75,apparatus,5.0,5.5,6.0,5.8,-116356.0,2,Significant regulatory hurdles; Negative Net Present Value in base scenario
120,3930614,Device for spraying a traveling paper web or the like,5.32,0.75,apparatus,5.0,5.5,6.0,5.8,-116356.0,2,Negative Net Present Value in base scenario
121,3930321,Question and answer game,5.31,0.75,enabling_technology,6.5,5.0,6.0,5.5,-157171.0,2,Negative Net Present Value in base scenario
122,3933146,Portable single burner campstove,5.3,0.75,energy,6.5,5.0,6.0,5.5,-160234.0,2,Negative Net Present Value in base scenario
123,3930667,Inflatable garment for crash protection,5.3,0.75,energy,6.5,5.0,6.0,5.5,-160234.0,2,Negative Net Present Value in base scenario
124,3930274,Assembly for use in recreational activities,5.3,0.75,enabling_technology,6.5,5.0,6.0,5.5,-160234.0,2,Negative Net Present Value in base scenario
125,3931743,Compact speed reduction mechanism for a uhf indicator dial,5.29,0.75,enabling_technology,5.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
126,3931725,Mobile machine for producing metal siding,5.28,0.75,enabling_technology,6.5,5.0,6.0,5.5,-170655.0,2,Negative Net Present Value in base scenario
127,3930310,Stable power ring tool,5.28,0.75,energy,6.5,5.0,6.0,5.5,-170655.0,2,Negative Net Present Value in base scenario
128,3930680,Modular structures for enclosing a vehicle load or passenger receiving space,5.28,0.75,enabling_technology,6.5,5.0,6.0,5.5,-170655.0,2,Negative Net Present Value in base scenario
129,3930475,Engine exhaust gas recirculating control,5.27,0.75,control_systems,5.0,5.5,6.0,5.8,-140188.0,2,Negative Net Present Value in base scenario
130,3930389,Lock and support device for fuel tank,5.27,0.75,apparatus,5.0,5.5,6.0,5.8,-140188.0,2,Negative Net Present Value in base scenario
131,3932262,Portable electrophoresis apparatus using minimum electrolyte,5.26,0.75,apparatus,5.0,5.5,6.0,5.8,-144781.0,2,Negative Net Present Value in base scenario
132,3932856,"Portable, gravity-actuated alarm for use with a window or door",5.26,0.75,apparatus,5.0,5.5,6.0,5.8,-144781.0,2,Negative Net Present Value in base scenario
133,3934195,Portable electric capacitor tester using an LED indicator,5.26,0.75,apparatus,5.0,5.5,6.0,5.8,-144781.0,2,Negative Net Present Value in base scenario
134,3932908,Portable scrubbing device,5.26,0.75,apparatus,5.0,5.5,6.0,5.8,-144781.0,2,Negative Net Present Value in base scenario
135,3933164,Portable duck blind camp cot and back pack,5.26,0.75,apparatus,5.0,5.5,6.0,5.8,-144781.0,2,Negative Net Present Value in base scenario
136,3930800,Fluidized bed desubliming apparatus for recovery of aluminum chloride,5.25,0.75,control_systems,5.0,5.5,6.0,5.8,-149583.0,2,Negative Net Present Value in base scenario
137,3931470,Tape marking and indicating device for remote control operation,5.22,0.75,control_systems,5.5,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
138,3930303,Method for manufacturing compact thermoelectric modules,5.22,0.75,materials,5.5,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
139,3930765,Rotary displacement pumps,5.22,0.75,enabling_technology,5.5,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
140,3930543,Tractor attachment,5.22,0.75,enabling_technology,5.5,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
141,3930708,Flat cable wire-connector,5.22,0.75,enabling_technology,5.5,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
142,3930560,Damping element,5.22,0.75,materials,5.5,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
143,3930535,Apparatus for the preparation and dispensing of soft ice-cream,5.22,0.75,apparatus,5.5,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
144,3932714,Remote electrical transmission system,5.22,0.75,control_systems,5.5,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
145,3930690,Agitator shaft seal,5.2,0.75,materials,5.5,5.0,6.0,5.5,-137864.0,2,Negative Net Present Value in base scenario
146,3930768,Blow-head for tubular film,5.2,0.75,materials,5.5,5.0,6.0,5.5,-137864.0,2,Negative Net Present Value in base scenario
147,3930448,Rocket-deployed balloon for position marker,5.15,0.75,enabling_technology,5.5,5.0,6.0,5.5,-160234.0,2,Negative Net Present Value in base scenario
148,3930815,Electrostatic apparatus for removing entrained particulate material from a gas stream,5.15,0.75,materials,5.5,5.0,6.0,5.5,-160234.0,2,Negative Net Present Value in base scenario
149,3935442,Photoflash lamp array having electrically connected reflector,5.15,0.75,enabling_technology,5.5,5.0,6.0,5.5,-164036.0,2,Negative Net Present Value in base scenario
150,3930358,Alarm clock timer,5.14,0.75,control_systems,5.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
151,3930655,Seals for use between two relatively-rotating surfaces,5.14,0.75,enabling_technology,5.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
152,3930379,"Compensating and equalizing coupling for transmission of large torques, such as between the gear and the propellor of a ship",5.14,0.75,enabling_technology,5.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
153,3930624,Aircraft,5.14,0.75,control_systems,5.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
154,3930551,Electric drive for wheel chairs,5.14,0.75,control_systems,5.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
155,3930538,Wellpoint with adjustable valve,5.14,0.75,enabling_technology,5.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
156,3930705,Electrical connector assembly,5.14,0.75,enabling_technology,5.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
157,3930437,"Piston structure, particularly for hydraulic machines",5.14,0.75,enabling_technology,5.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
158,3930378,Axially-displaceable and angularly-movable universal coupling,5.14,0.75,wireless,5.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
159,3930472,Composite oil-cooled piston for an internal combustion engine,5.14,0.75,materials,5.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
160,3930414,Method and apparatus for obtaining a representative sample of fluid flowing through a conduit,5.14,0.75,process,5.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
161,3930518,Valves,5.14,0.75,enabling_technology,5.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
162,3930618,Balanced sprinkler impact drive,5.14,0.75,enabling_technology,5.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
163,3934644,Remote engine water cooler,5.14,0.75,materials,5.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
164,3930356,Method and apparatus for influencing the ambient conditions during open-end spinning,5.14,0.75,materials,5.0,5.0,6.0,5.5,-127742.0,2,Negative Net Present Value in base scenario
165,3930548,Motorized scaffold attachment,5.13,0.75,control_systems,5.5,5.0,6.0,5.5,-170655.0,2,Negative Net Present Value in base scenario
166,3934344,Portable chain saw,5.13,0.75,materials,5.5,5.0,6.0,5.5,-170655.0,2,Negative Net Present Value in base scenario
167,3930339,"Window regulator, especially for automobiles, with a threaded cable moving in a guide",5.13,0.75,enabling_technology,5.5,5.0,6.0,5.5,-170655.0,2,Negative Net Present Value in base scenario
168,3931951,Mobile pallet for an installation for production of pre-fabricated elements of concrete,5.13,0.75,enabling_technology,5.5,5.0,6.0,5.5,-170655.0,2,Negative Net Present Value in base scenario
169,3930491,Combination fireplace and space heater,5.12,0.75,enabling_technology,5.0,5.0,6.0,5.5,-137864.0,2,Negative Net Present Value in base scenario
170,3930893,Conductivity connected charge-coupled device fabrication process,5.12,0.75,process,5.0,5.0,6.0,5.5,-137864.0,2,Negative Net Present Value in base scenario
171,3930809,Assembly fixture for fixed point probe card,5.12,0.75,enabling_technology,5.0,5.0,6.0,5.5,-142457.0,2,Negative Net Present Value in base scenario
172,3930742,Velocity probe for compressor surge control,5.12,0.75,process,5.0,5.0,6.0,5.5,-142457.0,2,Negative Net Present Value in base scenario
173,3930420,Steering wheel assembly,5.12,0.75,materials,5.0,5.0,6.0,5.5,-142457.0,2,Negative Net Present Value in base scenario
174,3931719,Jewelry Component having mounted stones connected by deformable webs,5.12,0.75,enabling_technology,5.0,5.0,6.0,5.5,-142457.0,2,Negative Net Present Value in base scenario
175,3934646,Constant temperature cold-end corrosion probe,5.12,0.75,process,5.0,5.0,6.0,5.5,-142457.0,2,Negative Net Present Value in base scenario
176,3930542,Rotary harrows,5.11,0.75,enabling_technology,5.0,5.0,6.0,5.5,-144026.0,2,Negative Net Present Value in base scenario
177,3930600,Injection molding device with back pressure control of screw movement,5.1,0.75,materials,5.0,5.0,6.0,5.5,-152171.0,2,Negative Net Present Value in base scenario
178,3930785,Portable lighter,5.06,0.75,enabling_technology,5.0,5.0,6.0,5.5,-170655.0,2,Negative Net Present Value in base scenario
179,3930701,Portable television cabinet surface extender,5.06,0.75,enabling_technology,5.0,5.0,6.0,5.5,-170655.0,2,Negative Net Present Value in base scenario
180,3930277,Mobile floor sweeper,5.06,0.75,enabling_technology,5.0,5.0,6.0,5.5,-170655.0,2,Negative Net Present Value in base scenario
181,3930504,Portable light coagulator,5.06,0.75,process,5.0,5.0,6.0,5.5,-170655.0,2,Negative Net Present Value in base scenario
182,3934373,Portable surface treating apparatus,5.06,0.75,materials,5.0,5.0,6.0,5.5,-170655.0,2,Negative Net Present Value in base scenario
183,3933275,Portable wine dispenser,5.06,0.75,enabling_technology,5.0,5.0,6.0,5.5,-170655.0,2,Negative Net Present Value in base scenario
184,3934277,Portable swimming pool construction,5.06,0.75,enabling_technology,5.0,5.0,6.0,5.5,-170655.0,2,Negative Net Present Value in base scenario
185,3930741,Vibratory compactor attachment,5.06,0.75,enabling_technology,5.0,5.0,6.0,5.5,-170655.0,2,Negative Net Present Value in base scenario
186,3930345,Mobile home resilient frost heave compensators,5.04,0.75,enabling_technology,5.0,5.0,6.0,5.5,-180403.0,2,Negative Net Present Value in base scenario
